project_name,project_type,pct_complete,project_budget,project_start,construction_start,project_completion,project_page,project_budget_error_flag,project_status
Monroe Drive @ Park Drive,Traffic Signals,0.02,2e5,2016-05-01,2018-04-01,2018-11-01,http://renewatlantabond.com/project/monroe-drive-park-drive-2/,FALSE,In Process
Monroe Drive/Boulevard Complete Street Project,Complete Streets,0.1,4514488.0,2016-05-01,2019-05-01,2020-04-01,http://renewatlantabond.com/project/monroe-driveboulevard/,FALSE,In Process
Monroe/Boulevard (TCC),Traffic Signals,,2240258.0,2016-05-01,2017-07-01,2018-10-01,http://renewatlantabond.com/project/monroeboulevard-2/,FALSE,Not Started
"Montgomery Ferry Drive, Phase 1",Roadways,,245645.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/montgomery-ferry-drive/,FALSE,Not Started
"Montgomery Ferry Drive, Phase 2",Roadways,,287295.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/montgomery-ferry-road/,FALSE,Not Started
Moores Mill Road @ West Wesley Road,Traffic Signals,,25e4,2016-01-01,2017-05-01,2017-11-01,http://renewatlantabond.com/project/moores-mill-road-w-wesley-road/,FALSE,Not Started
Moreland Avenue @ Eastland Road & Sunshine Plaza Driveway,Traffic Signals,,,,,,http://renewatlantabond.com/project/moreland-avenue-eastland-road-sunshine-plaza-driveway-2/,TRUE,Not Started
Moreland Avenue @ McDonough Boulevard,Traffic Signals,,,,,,http://renewatlantabond.com/project/moreland-avenue-mcdonough-boulevard-2/,TRUE,Not Started
Morningside Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/morningside-elementary-school/,FALSE,Completed
Morris Street,Roadways,,123655.0,2016-05-01,2017-04-01,2017-05-01,http://renewatlantabond.com/project/morris-street/,FALSE,Not Started
Mountain Way,Roadways,,299150.0,2016-07-01,2017-09-01,2017-11-01,http://renewatlantabond.com/project/mountain-way/,FALSE,Not Started
Mount Paran Road @ Northside Parkway,Traffic Signals,0.12,1304536.0,2016-04-01,2018-03-01,2018-05-01,http://renewatlantabond.com/project/mt-paran-road-northside-parkway/,FALSE,In Process
Mount  Paran Road @ Randall Mill & Conway Drive,Traffic Signals,0.12,1276700.0,2016-04-01,2018-03-01,2018-05-01,http://renewatlantabond.com/project/mt-paran-road-randall-mill-conway-drive/,FALSE,In Process
Murphy Avenue,Roadways,0.9500000000000001,383945.0,2016-05-01,2015-10-01,2016-02-01,http://renewatlantabond.com/project/murphy-avenue/,FALSE,In Process
Muse Street,Roadways,,121110.0,2016-07-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/muse-street-2/,FALSE,Not Started
Muse Street,Roadways,,121110.0,2016-07-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/muse-street/,FALSE,Not Started
Musical Playscape,,,,,,,http://renewatlantabond.com/project/musical-playscape/,TRUE,Not Started
My Spirit is Changing,,,,,,,http://renewatlantabond.com/project/my-spirit-is-changing/,TRUE,Not Started
Neighborhood Charter School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/neighborhood-charter-school/,FALSE,Completed
Nelson Street Pedestrian Bridge,Bridges,,2301801.0,2016-12-01,2018-02-01,2018-02-01,http://renewatlantabond.com/project/nelson-street-pedestrian/,FALSE,Not Started
New Britain Drive,Roadways,,133150.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/new-britain-drive/,FALSE,Not Started
New Endings,Public Art Program,,29e3,2015-03-01,2017-07-01,2017-09-01,http://renewatlantabond.com/project/new-endings/,FALSE,Not Started
New Haven Court,Roadways,,77950.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/new-haven-court/,FALSE,Not Started
Newman Place,Roadways,,211e3,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/newman-place-roadway-construction/,FALSE,Not Started
Niskey Lake Road Phase 2,Roadways,,567430.0,2016-07-01,2017-11-01,2018-01-01,http://renewatlantabond.com/project/niskey-lake-road-phase-2/,FALSE,Not Started
Niskey Lake Road,Roadways,,62365.0,2016-07-01,2017-08-01,2017-02-01,http://renewatlantabond.com/project/niskey-lake-road/,FALSE,Not Started
North Angier Avenue,Roadways,,234195.0,2016-04-01,2017-05-01,2017-06-01,http://renewatlantabond.com/project/north-angier-avenue/,FALSE,Not Started
North Avenue (TCC),Traffic Signals,,1863810.0,2016-05-01,2018-02-01,2019-05-01,http://renewatlantabond.com/project/north-avenue-2/,FALSE,Not Started
North Avenue,Roadways,0.01,1625e3,2015-10-01,2017-07-01,,http://renewatlantabond.com/project/north-avenue-3/,FALSE,In Process
North Camp Creek Parkway,Roadways,,361685.0,2016-05-01,2017-04-01,2017-06-01,http://renewatlantabond.com/project/north-camp-creek-pkwy/,FALSE,Not Started
North Ivy Road,Roadways,,498225.0,2016-07-01,2017-09-01,2017-11-01,http://renewatlantabond.com/project/north-ivy-road/,FALSE,Not Started
North Morningside Drive,Roadways,,308900.0,2016-07-01,2017-05-01,2017-08-01,http://renewatlantabond.com/project/north-morningside-drive/,FALSE,Not Started
Northside Drive @ Moores Mill Road,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/northside-drive-moores-mill-road-2/,FALSE,In Process
Northwest Drive,Roadways,,484805.0,2016-05-01,2017-04-01,2017-05-01,http://renewatlantabond.com/project/northwest-drive/,FALSE,Not Started
Not to Scale,Public Art Program,,35e3,2015-03-01,2017-03-01,2017-04-01,http://renewatlantabond.com/project/not-to-scale/,FALSE,Not Started
Oakdale Road @ Fairview Road,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/oakdale-road-fairview-road-2/,FALSE,In Process
Oakdale Road,Roadways,,45960.0,2016-07-01,2017-12-01,2018-02-01,http://renewatlantabond.com/project/oakdale-road/,FALSE,Not Started
Oakland City Recreation Center at Rev. James Orange Park,,,,,,,http://renewatlantabond.com/project/oakland-city-rec-center-at-rev-james-orange-park/,TRUE,Not Started
Oakshire Way,Roadways,0.98,145450.0,2016-04-01,2016-04-01,2016-12-01,http://renewatlantabond.com/project/oakshire-way/,FALSE,In Process
"Old Chattahoochee Avenue, Phase 2",Roadways,,236920.0,2016-05-01,2017-07-01,2017-08-01,http://renewatlantabond.com/project/old-chattahoochee-ave-phase-2/,FALSE,Not Started
"Old Chattahoochee Avenue, Phase 1",Roadways,,100335.0,2016-07-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/old-chattahoochee-avenue/,FALSE,Not Started
Old Fourth Neighborhood Improvements,Roadways,,5e5,2017-02-01,2017-09-01,2018-04-01,http://renewatlantabond.com/project/old-fourth-neighborhood-improvements/,FALSE,Not Started
Old Gordon Road,Roadways,,350920.0,2016-05-01,2017-05-01,2017-06-01,http://renewatlantabond.com/project/old-gordon-road/,FALSE,Not Started
Old Hapeville Road,Roadways,0.29,151775.0,2015-10-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/old-hapeville-road/,FALSE,In Process
Old Ivy Road Pedestrian Improvements,ADA and Sidewalks,,949301.0,2017-03-01,2017-07-01,2017-11-01,http://renewatlantabond.com/project/old-ivy-rd/,FALSE,Not Started
Old Ivy Road,Roadways,,526265.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/old-ivy-road/,FALSE,Not Started
OldKnow Drive Sidewalk Improvements,ADA and Sidewalks,,108e3,2017-04-01,2017-09-01,2018-02-01,http://renewatlantabond.com/project/oldknow-drive-sidewalk-north/,FALSE,Not Started
Our City,Public Art Program,,,,,,http://renewatlantabond.com/project/our-city/,TRUE,Not Started
Tree of Life and Kan,Public Art Program,1.0,16e3,2015-03-01,2016-09-01,2016-12-01,http://renewatlantabond.com/project/our-tree/,FALSE,Completed
Overlook Court,Roadways,,26580.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/overlook-court/,FALSE,Not Started
Paces Ferry Road,,,,,,,http://renewatlantabond.com/project/paces-ferry-road/,TRUE,Not Started
Park Center Drive,Roadways,,17850.0,2016-07-01,2016-07-01,2017-01-01,http://renewatlantabond.com/project/park-center-drive/,FALSE,Not Started
Parkway Drive @ Linden Avenue,Traffic Signals,0.02,2e5,2016-06-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/parkway-drive-linden-avenue-2/,FALSE,In Process
Peace Monument,,,,,,,http://renewatlantabond.com/project/peace-monument/,TRUE,Not Started
Peachtree Battle Avenue,Roadways,,823025.0,2016-07-01,2017-10-01,2017-12-01,http://renewatlantabond.com/project/peachtree-battle/,FALSE,Not Started
Peachtree Dunwoody Road,Roadways,0.07,419100.0,2016-04-01,2016-06-01,2017-04-01,http://renewatlantabond.com/project/peachtree-dunwoody-road/,FALSE,In Process
Peachtree Hill Recreation Center,Parks and Recreation,,285e3,2016-06-01,2016-06-01,2017-12-01,http://renewatlantabond.com/project/peachtree-hill-rec-center/,FALSE,Not Started
Peachtree Hills Recreation Center Mural,,,,,,,http://renewatlantabond.com/project/peachtree-hills-rec-center-tile-mosaic/,TRUE,Not Started
Peachtree Street (TCC),Traffic Signals,,2434693.0,2016-08-01,2017-06-01,2018-05-01,http://renewatlantabond.com/project/peachtree-street-2/,FALSE,Not Started
Peachtree Street @ Garnett Street,Traffic Signals,0.02,2e5,2017-02-01,2018-01-01,2018-12-01,http://renewatlantabond.com/project/peachtree-street-garnett-street-2/,FALSE,In Process
Peachtree Street/Road,Complete Streets,,,,,,http://renewatlantabond.com/project/peachtree-streetroad/,TRUE,Not Started
Municipal Court Pedestrian Bridge,Public Buildings,,13e5,2015-10-01,2017-09-01,2018-06-01,http://renewatlantabond.com/project/pedestrian-bridge-from-the-government-parking-deck-to-the-municipal-court-over-central-ave/,FALSE,Not Started
Perkerson Elementary School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/perkerson-elementary-school/,FALSE,Completed
Phoenix,Public Art Program,,65e3,2015-03-01,2017-06-01,2017-08-01,http://renewatlantabond.com/project/phoenix/,FALSE,Not Started
Piedmont Avenue (TCC),Traffic Signals,,1166317.0,2016-08-01,2017-06-01,2018-05-01,http://renewatlantabond.com/project/piedmont-ave-2/,FALSE,Not Started
Piedmont Ave,Complete Streets,,,,,,http://renewatlantabond.com/project/piedmont-ave/,TRUE,Not Started
Piedmont Road,Roadways,,692760.0,2016-07-01,2018-03-01,2018-05-01,http://renewatlantabond.com/project/piedmont-road/,FALSE,Not Started
Pine Street,Roadways,,162635.0,2016-07-01,2017-08-01,2017-11-01,http://renewatlantabond.com/project/pine-street/,FALSE,Not Started
Fire Station 38,Public Safety,0.01,282328.0,2015-09-01,2016-04-01,2018-04-01,http://renewatlantabond.com/project/plumbing-upgrade-exterior-lighting-fencing-repair/,FALSE,In Process
Polar Rock Road,Roadways,,363680.0,2016-07-01,2017-10-01,2017-12-01,http://renewatlantabond.com/project/polar-rock-road/,FALSE,Not Started
Polo Drive,Roadways,,214670.0,2016-05-01,2017-04-01,2017-06-01,http://renewatlantabond.com/project/polo-drive/,FALSE,Not Started
Pouncey-Highland Neighborhood Improvements,Roadways,,5e5,2016-11-01,2017-08-01,2018-02-01,http://renewatlantabond.com/project/pouncey-highland-neighborhood-improvements/,FALSE,Not Started
Powers Ferry Road Bridge,Bridges,,2496997.0,2015-10-01,2017-08-01,2018-04-01,http://renewatlantabond.com/project/powers-ferry-road/,FALSE,Not Started
Pryor Road @ Claire Drive & Pryor Circle,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/pryor-road-claire-drive-pryor-circle-2/,FALSE,In Process
Pryor Road @ Fair Drive,Traffic Signals,0.02,2e5,2016-04-01,2017-12-01,2018-11-01,http://renewatlantabond.com/project/pryor-road-fair-drive-2/,FALSE,In Process
Pryor Street @ Underground Atlanta Crosswalk,Traffic Signals,0.02,2e5,2017-02-01,2018-01-01,2018-12-01,http://renewatlantabond.com/project/pryor-street-underground-atlanta-crosswalk-2/,FALSE,In Process
Public Safety Academies,,,,,,,http://renewatlantabond.com/project/public-safety-academies/,TRUE,Not Started
Video Integration Center Storage,Public Safety,,419998.0,2015-08-01,2017-01-01,2017-04-01,http://renewatlantabond.com/project/public-safety-vic/,FALSE,Not Started
Ralph David Abernathy Boulevard Complete Street Project,Complete Streets,,,,,,http://renewatlantabond.com/project/r-d-abernathy-drive/,TRUE,Not Started
Ralph David Abernathy/Georgia Avenue (TCC),Traffic Signals,,1110889.0,2016-04-01,2017-10-01,2018-10-01,http://renewatlantabond.com/project/r-d-abernathygeorgia-ave-2/,FALSE,Not Started
Redbud Lane,Roadways,1.0,31605.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/redbud-lane/,FALSE,Completed
Regency Center Drive,Roadways,1.0,275455.0,2016-07-01,2016-07-01,2017-02-01,http://renewatlantabond.com/project/regency-center-drive/,FALSE,Completed
Regency Crest Court,Roadways,1.0,62870.0,2016-07-01,2016-07-01,2017-02-01,http://renewatlantabond.com/project/regency-crest-court/,FALSE,Completed
Regency Crest Drive,Roadways,,94455.0,2016-07-01,2016-07-01,2017-02-01,http://renewatlantabond.com/project/regency-crest-drive/,FALSE,Not Started
Regency Park Drive,Roadways,,44550.0,2017-07-01,2016-07-01,2017-01-01,http://renewatlantabond.com/project/regency-park-drive/,FALSE,Not Started
Fire Station 3,Public Safety,0.01,455.963,2015-09-01,2016-04-01,2017-03-01,http://renewatlantabond.com/project/repair-roof-leaks-water-stained-celling-tiles-and-correct-life-safety-items/,FALSE,In Process
Reunion Place,,,,,,,http://renewatlantabond.com/project/reunion-place/,TRUE,Not Started
Richland Road,Roadways,,468655.0,2016-07-01,2017-10-01,2018-01-01,http://renewatlantabond.com/project/richland-road/,FALSE,Not Started
E. Rivers Elementary School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/rivers-elementary-school-2/,FALSE,Completed
Fire Station 17,Public Safety,0.01,440713.0,2015-09-01,2016-05-01,2018-02-01,http://renewatlantabond.com/project/roof-drain-clean-out-and-soffit-repairs/,FALSE,In Process
City Hall Roof Replacement,Public Buildings,0.99,9e5,2015-08-01,2015-10-01,2017-02-01,http://renewatlantabond.com/project/roof-replacement/,FALSE,In Process
Rosalia Street,Roadways,,91930.0,2016-07-01,2017-07-01,2017-09-01,http://renewatlantabond.com/project/rosalia-street/,FALSE,Not Started
Rosel Fann Community Center,Parks and Recreation,,812e3,2015-10-01,2017-03-01,2018-03-01,http://renewatlantabond.com/project/rosel-fann-community-center/,FALSE,Not Started
Ruby Harper Boulevard,Roadways,,532965.0,2016-05-01,2017-03-01,2017-05-01,http://renewatlantabond.com/project/ruby-harper-blvd/,FALSE,Not Started
Rutgers Drive,Roadways,1.0,31215.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/rutgers-drive/,FALSE,Completed
Scott Elementary School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/scott-elementary-school/,FALSE,Completed
Shango y Eshu-Elegba En La Corta De Atlanta,,,,,,,http://renewatlantabond.com/project/shango-y-eshu-elegba-en-la-corta-de-atlanta/,TRUE,Not Started
Sarah Smith Elementary School (Primary Campus),School Zone Beacons,,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/smith-elementary-school/,FALSE,Not Started
Sarah Smith Elementary School (Intermediate Campus),School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/smith-intermediate-school/,FALSE,Completed
South Atlanta Computer Animation & Design School,School Zone Beacons,,,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/south-atlanta-computer-animation-design-school/,TRUE,Not Started
South Atlanta High School,School Zone Beacons,1.0,9270.0,2016-05-01,2016-07-01,2016-08-01,http://renewatlantabond.com/project/south-atlanta-high-school/,FALSE,Completed
South Gordon Road,Roadways,1.0,266170.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/south-gordon-road/,FALSE,Completed
Southside Industrial Court,Roadways,,230155.0,2016-05-01,2017-03-01,2017-05-01,http://renewatlantabond.com/project/southside-industrial-court/,FALSE,Not Started
Southside Industrial Parkway,Roadways,,1888350.0,2016-05-01,2017-04-01,2017-05-01,http://renewatlantabond.com/project/southside-industrial-parkway/,FALSE,Not Started
Southside Industrial Way,Roadways,,47515.0,2016-05-01,2017-05-01,2017-06-01,http://renewatlantabond.com/project/southside-industrial-way/,FALSE,Not Started
Spellman Street,Roadways,,31265.0,2016-07-01,2017-07-01,2018-01-01,http://renewatlantabond.com/project/spellman-street/,FALSE,Not Started
Spring Lake Court,Roadways,0.9500000000000001,45500.0,2015-09-01,2015-11-01,2017-02-01,http://renewatlantabond.com/project/spring-lake-court/,FALSE,In Process
"Spring Street, Phase 1",Roadways,,668565.0,2016-07-01,2018-01-01,2018-04-01,http://renewatlantabond.com/project/spring-street-phase-1/,FALSE,Not Started
"Spring Street, Phase 2",Roadways,1.0,463570.0,2016-07-01,2018-03-01,2018-06-01,http://renewatlantabond.com/project/spring-street-phase-2/,FALSE,Completed
Springdale Park Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/springdale-park-elementary-school/,FALSE,Completed
Springdale Place,Roadways,,86065.0,2016-07-01,2017-09-01,2017-11-01,http://renewatlantabond.com/project/springdale-place/,FALSE,Not Started
Springdale Road,Roadways,,895100.0,2016-07-01,2017-09-01,2017-12-01,http://renewatlantabond.com/project/springdale-road/,FALSE,Not Started
Stanton Road,Roadways,,222235.0,2016-07-01,2017-07-01,2017-10-01,http://renewatlantabond.com/project/stanton-road/,FALSE,Not Started
Fire Station 25,Public Safety,0.05,367245.0,2015-09-01,2017-02-01,2017-06-01,http://renewatlantabond.com/project/station-25/,FALSE,In Process
Fire Station 26,Public Safety,0.05,258978.0,2015-09-01,2016-04-01,2017-10-01,http://renewatlantabond.com/project/station-26/,FALSE,In Process
Fire Station 27,Public Safety,0.01,147584.92,2015-09-01,2016-04-01,2018-03-01,http://renewatlantabond.com/project/station-27/,FALSE,In Process
Fire Station 30,Public Safety,,409717.0,2015-11-01,2015-11-01,2017-07-01,http://renewatlantabond.com/project/station-30-shutdown/,FALSE,Not Started
Stokes Avenue,Roadways,1.0,111070.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/stokes-avenue/,FALSE,Completed
Stone Hogan Connector,Roadways,,634020.0,2016-07-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/stone-hogan-connector/,FALSE,Not Started
Straton Trace,Roadways,1.0,27675.0,2016-07-01,2016-07-01,2017-02-01,http://renewatlantabond.com/project/stranton-trace/,FALSE,Completed
Fire Station 9,Public Safety,0.01,262328.0,2015-09-01,2015-09-01,2018-06-01,http://renewatlantabond.com/project/structural-damage-electrical-mechanical-upgrades-and-painting/,FALSE,In Process
Summerhill Rebirth,,,,,,,http://renewatlantabond.com/project/summerhill-rebirth/,TRUE,Not Started
Sunset Avenue,Roadways,,418900.0,2016-07-01,2017-07-01,2017-10-01,http://renewatlantabond.com/project/sunset-avenue/,FALSE,Not Started
Sutton Middle School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/sutton-middle-school/,FALSE,Completed
Sydney Street,Roadways,,259560.0,2016-05-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/sydney-street/,FALSE,Not Started
Sylvan Hills Middle School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/sylvan-hills-middle-school/,FALSE,Completed
Sylvan Rd,Roadways,,257850.0,2016-08-01,2017-03-01,2017-08-01,http://renewatlantabond.com/project/sylvan-rd/,FALSE,Not Started
Sylvan Road (TCC),Traffic Signals,,802562.0,2016-04-01,2017-12-01,2018-12-01,http://renewatlantabond.com/project/sylvan-road-2/,FALSE,Not Started
Sylvan Road @ Deckner Avenue & Brewer Boulevard,Traffic Signals,0.02,2e5,2016-04-01,2017-11-01,2018-10-01,http://renewatlantabond.com/project/sylvan-road-deckner-avenue-brewer-boulevard-2/,FALSE,In Process
The Horn Section,,,,,,,http://renewatlantabond.com/project/the-horn-section/,TRUE,Not Started
The Kindezi School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/the-kindezi-school/,FALSE,Completed
The Last Meter,,,,,,,http://renewatlantabond.com/project/the-last-meter/,TRUE,Not Started
Threshold,Public Art Program,0.5,4e4,2015-03-01,2016-08-01,2017-04-01,http://renewatlantabond.com/project/threshold/,FALSE,In Process
Toomer Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/toomer-elementary-school/,FALSE,Completed
Tower of Time,Public Art Program,,12e3,2015-03-01,2017-03-01,2017-07-01,http://renewatlantabond.com/project/tower-of-time/,FALSE,Not Started
Towns Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/towns-elementary-school/,FALSE,Completed
Travis Street,Roadways,,65050.0,2016-07-01,2017-07-01,2017-10-01,http://renewatlantabond.com/project/travis-street/,FALSE,Not Started
Tye Street Sidewalk Improvements,ADA and Sidewalks,,53e3,2017-04-01,2017-09-01,2018-02-01,http://renewatlantabond.com/project/tye-street/,FALSE,Not Started
University Ave,Complete Streets,,,,,,http://renewatlantabond.com/project/university-ave/,TRUE,Not Started
Untitled Children’s Mural,,,,,,,http://renewatlantabond.com/project/untitled-childrens-mural/,TRUE,Not Started
Untitled Kinetic Sculpture,Public Art Program,,8500.0,2015-03-01,2016-12-01,2017-01-01,http://renewatlantabond.com/project/untitled-kinetic-sculpture/,FALSE,Not Started
Urban Path,Public Art Program,,67e3,2015-03-01,2017-03-01,2017-05-01,http://renewatlantabond.com/project/urban-path/,FALSE,Not Started
Valleydale Drive,Roadways,1.0,62210.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/valleydale-drive-2/,FALSE,Completed
Verbena Street,Roadways,,297730.0,2016-07-01,2017-07-01,2017-09-01,http://renewatlantabond.com/project/verbena-street/,FALSE,Not Started
Video Integration Center CCTV Expansion,Public Safety,0.07,2455e3,2015-10-01,2017-02-01,2019-12-01,http://renewatlantabond.com/project/video-integration-center-cctv-expansion/,FALSE,In Process
Video Integration Center Network Upgrades,Public Safety,,18e4,2015-12-01,2017-06-01,2017-09-01,http://renewatlantabond.com/project/video-integration-center-network-upgrades/,FALSE,Not Started
Video Integration Center Wall/Workstation,Public Safety,0.45,45e4,2015-09-01,2016-05-01,2016-09-01,http://renewatlantabond.com/project/video-integration-center/,FALSE,In Process
Washington High School,School Zone Beacons,1.0,22585.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/washington-banking-finance-investments-school/,FALSE,Completed
Waterford Road,Roadways,1.0,111470.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/waterford-road/,FALSE,Completed
City Hall Waterproofing,Public Buildings,0.99,2e6,2015-09-01,2015-11-01,2017-02-01,http://renewatlantabond.com/project/waterproofing/,FALSE,In Process
West End Park,Parks and Recreation,,,,,,http://renewatlantabond.com/project/west-end-park/,TRUE,Not Started
West Lake Park,Parks and Recreation,,,,,,http://renewatlantabond.com/project/west-lake-park/,TRUE,Not Started
West Marietta Street  (TCC),Traffic Signals,,1168830.0,2016-03-01,2017-08-01,2018-07-01,http://renewatlantabond.com/project/west-marietta-st-2/,FALSE,Not Started
West Paces Ferry Road,Roadways,0.9500000000000001,470360.0,2016-04-01,2016-04-01,2017-01-01,http://renewatlantabond.com/project/west-paces-ferry-road/,FALSE,In Process
"West Wieuca Road, Phase 3",Roadways,,565700.0,2016-07-01,2018-01-01,2018-03-01,http://renewatlantabond.com/project/west-wieuca-road-2/,FALSE,Not Started
"West Wieuca Road, Phase 2",Roadways,,268040.0,2016-07-01,2018-01-01,2018-03-01,http://renewatlantabond.com/project/west-wieuca-road-3/,FALSE,Not Started
"West Wieuca Road, Phase 1",Roadways,,325665.0,2016-07-01,2017-12-01,2018-03-01,http://renewatlantabond.com/project/west-wieuca-road/,FALSE,Not Started
Westminister Drive,Roadways,,47e4,2016-07-01,2017-09-01,2017-12-01,http://renewatlantabond.com/project/westminister-drive/,FALSE,Not Started
Westminster Drive,Roadways,,47e4,2016-07-01,2017-09-01,2017-12-01,http://renewatlantabond.com/project/westminster-drive/,FALSE,Not Started
Whitaker Circle,Roadways,,255735.0,2016-07-01,2017-07-01,2017-10-01,http://renewatlantabond.com/project/whitaker-circle/,FALSE,Not Started
Whitaker Street,Roadways,,46750.0,2016-07-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/whitaker-street/,FALSE,Not Started
Whitefoord Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/whitefoord-elementary-school/,FALSE,Completed
Why X Why,Public Art Program,0.75,28e3,2015-03-01,2016-05-01,2016-03-01,http://renewatlantabond.com/project/why-x-why/,FALSE,In Process
Wieuca Road,Roadways,,766055.0,2016-04-01,2017-12-01,2018-05-01,http://renewatlantabond.com/project/wieuca-road/,FALSE,Not Started
Williams Street,Roadways,,165090.0,2016-07-01,2018-03-01,2018-06-01,http://renewatlantabond.com/project/williams-street/,FALSE,Not Started
Willis Mill Road,Roadways,,,,,,http://renewatlantabond.com/project/willis-mill-road/,TRUE,Not Started
Willowood Lane,Roadways,,69700.0,2016-09-01,2016-10-01,2017-02-01,http://renewatlantabond.com/project/willowood-lane/,FALSE,Not Started
Wilson Road,Roadways,,129980.0,2016-05-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/wilson-road/,FALSE,Not Started
York Avenue,Roadways,,206520.0,,,2018-01-01,http://renewatlantabond.com/project/york-avenue/,FALSE,Not Started
